state,name,lake sq km,max concentration (cells/ml),mean concentration (cells/ml),max area high bloom (sq m),mean area high bloom,max area moderate bloom,mean area moderate bloom,max area low bloom,mean area low bloom,freq high bloom (%),freq moderate bloom (%),freq low bloom (%)
CA,Lake Earl,10.376,3388441.561,317496.199,21000,3857.971014,9600,1553.623188,3900,447.826087,0.652173913,0.565217391,0.444444444
CA,New Hogan Lake,12.865,724435.9601,78539.40503,8400,826.0869565,7200,1294.202899,2400,330.4347826,0.652173913,0.777777778,0.492753623
CA,O'Neill Forebay,9.122,1737800.829,61037.29926,7500,747.826087,9000,1708.695652,3000,672.4637681,0.652173913,0.859903382,0.734299517
CA,Clifton Court Forebay,8.797,575439.9373,54864.66394,16500,1359.42029,14100,2813.043478,5100,1194.202899,0.647342995,0.850241546,0.801932367
CA,Upper Lake,112.381,3235936.569,271694.313,321600,18605.7971,118800,6697.101449,19500,1215.942029,0.637681159,0.555555556,0.410628019
CA,Lake ID: 8265234,3.6,3388441.561,506456.8272,5100,1531.884058,1800,173.9130435,600,18.84057971,0.628019324,0.285024155,0.033816425
CA,Trinity Lake,6.13,1202264.435,126969.4244,5700,1114.492754,3600,620.2898551,1500,111.5942029,0.618357488,0.584541063,0.217391304
CA,Lake Davis,14.935,1318256.739,94323.48559,24000,3656.521739,11400,2356.521739,3600,443.4782609,0.599033816,0.594202899,0.434782609
CA,Cherry Lake,3.515,758577.575,84273.09028,2700,539.1304348,2400,769.5652174,1200,124.6376812,0.599033816,0.797101449,0.285024155
CA,Lake ID: 120051844,3.22,3388441.561,1452566.271,4500,1794.202899,1200,5.797101449,0,0,0.589371981,0.004830918,0
CA,Lake Cachuma,12.548,954992.586,91334.36931,10800,1563.768116,7200,1162.318841,2700,279.7101449,0.584541063,0.676328502,0.400966184
CA,Lake ID: 8265232,6.05,1995262.315,279091.955,14700,3691.304348,5700,359.4202899,1500,53.62318841,0.574879227,0.309178744,0.096618357
CA,Lake ID: 120051830,4.869,3388441.561,968604.1301,8100,2930.434783,1200,63.76811594,300,5.797101449,0.565217391,0.144927536,0.019323671
CA,Lake ID: 120051825,2.604,3311311.215,347867.5034,4500,1330.434783,2700,272.4637681,600,46.37681159,0.565217391,0.415458937,0.130434783
CA,Lake ID: 120054083,32.57,812830.5162,71734.73062,9300,1143.478261,9000,1394.202899,3900,259.4202899,0.531400966,0.61352657,0.352657005
CA,Perris Reservoir,7.697,1995262.315,92615.26026,13200,657.9710145,6300,744.9275362,3000,211.5942029,0.52173913,0.599033816,0.400966184
CA,Lake ID: 8265228,6.065,2089296.131,295419.6843,7500,2369.565217,4200,176.8115942,1200,23.1884058,0.52173913,0.193236715,0.043478261
CA,Thermalito Afterbay,14.56,1479108.388,85565.33099,8100,617.3913043,9300,752.173913,2700,191.3043478,0.512077295,0.589371981,0.357487923
CA,Lake Leavitt,4.193,3019951.72,207973.979,9600,1428.985507,3600,437.6811594,2100,88.4057971,0.483091787,0.371980676,0.1352657
CA,Turlock Lake,12.863,1862087.137,79111.41226,10800,917.3913043,6300,728.9855072,1800,236.2318841,0.420289855,0.584541063,0.376811594
CA,Lake ID: 7917913,5.019,3311311.215,191066.0475,10800,2057.971014,6000,366.6666667,2100,72.46376812,0.405797101,0.22705314,0.086956522
CA,Lake ID: 2554917,3.622,1621810.097,121099.0958,6300,1282.608696,3000,188.4057971,900,39.13043478,0.376811594,0.22705314,0.09178744
CA,Camanche Reservoir,4.511,1047128.548,46593.80831,6600,368.115942,5400,897.1014493,2400,347.826087,0.371980676,0.647342995,0.458937198
CA,Mono Lake,118.745,1445439.771,45093.42222,170100,2511.594203,154800,2675.362319,21900,849.2753623,0.333333333,0.333333333,0.265700483
CA,Russian River Reservoir,6.895,707945.7844,44538.3423,6900,444.9275362,6600,601.4492754,1200,144.9275362,0.323671498,0.425120773,0.246376812
CA,Lake ID: 17692731,2.808,1905460.718,124196.3371,3300,385.5072464,1200,81.15942029,300,5.797101449,0.260869565,0.169082126,0.019323671
CA,Lake ID: 120051827,2.365,3388441.561,114753.6706,3000,252.173913,1500,82.60869565,600,7.246376812,0.22705314,0.164251208,0.019323671
CA,Big Lagoon,5.529,467735.1413,32563.44299,3900,153.6231884,6900,731.884058,3900,328.9855072,0.202898551,0.492753623,0.357487923
CA,Mono Lake,42.345,1513561.248,6571.802326,68400,668.115942,56700,595.6521739,13200,191.3043478,0.024154589,0.096618357,0.086956522
"CA, AZ",Lake Havasu,79.938,1445439.771,56649.45073,90300,8169.565217,90600,25649.27536,23700,8500,0.888888889,0.971014493,0.951690821
CO,Lake Meredith,22.393,3235936.569,927997.0577,56100,44166.66667,6300,565.2173913,2100,128.9855072,0.922705314,0.309178744,0.154589372
CO,Lake Henry,4.768,2398832.919,598153.4071,10200,8020.289855,1800,126.0869565,900,13.04347826,0.879227053,0.15942029,0.033816425
CO,Lake ID: 1593551,19.364,2818382.931,431678.5724,51000,16142.02899,18900,1769.565217,4200,298.5507246,0.874396135,0.719806763,0.391304348
CO,Nee Noshe Reservoir,12.822,3311311.215,573093.3178,32100,10118.84058,13500,1504.347826,2100,217.3913043,0.859903382,0.724637681,0.357487923
CO,O'Brien Reservoir Number 1,7.407,1862087.137,446110.7843,15900,7030.434783,6900,539.1304348,1800,95.65217391,0.787439614,0.512077295,0.164251208
CO,Barr Lake,6.983,3388441.561,386260.3388,15000,4346.376812,10500,881.1594203,2700,184.057971,0.623188406,0.45410628,0.256038647
CO,Prewitt Reservoir,7.267,3162277.66,675788.4363,14400,7239.130435,6900,239.1304348,1200,39.13043478,0.61352657,0.164251208,0.06763285
CO,Horse Creek Reservoir,8.892,1995262.315,138719.3385,18600,3098.550725,9600,1015.942029,5100,175.3623188,0.603864734,0.52173913,0.280193237
CO,Lake Granby,28.586,1698243.652,52417.39329,57600,4376.811594,48600,10444.92754,12000,2737.681159,0.589371981,0.618357488,0.608695652
CO,Milton Reservoir,6.487,3388441.561,478739.8489,12900,4060.869565,10500,936.2318841,3000,226.0869565,0.589371981,0.391304348,0.222222222
CO,Vallecito Reservoir,10.743,1174897.555,71531.10609,20100,1901.449275,14400,2263.768116,3900,559.4202899,0.584541063,0.652173913,0.52173913
CO,Twin Lakes,6.017,891250.9381,62632.5102,12000,1224.637681,9600,2326.086957,3600,597.1014493,0.584541063,0.623188406,0.54589372
CO,Empire Reservoir,10.187,3388441.561,467349.8062,21900,6160.869565,8100,452.173913,2400,157.9710145,0.570048309,0.29468599,0.188405797
CO,San Luis Lake,2.146,3162277.66,279509.7448,3300,1359.42029,3000,289.8550725,1200,44.92753623,0.565217391,0.31884058,0.096618357
CO,Grand Lake,7.06,1230268.771,78422.19106,9300,1378.26087,4800,1005.797101,1800,247.826087,0.54589372,0.560386473,0.400966184
CO,Antero Reservoir,9.991,912010.8394,68925.5428,10500,914.4927536,9900,1362.318841,3300,378.2608696,0.536231884,0.570048309,0.391304348
CO,Elevenmile Canyon Reservoir,12.632,870963.59,53877.85431,12600,1400,11100,2271.014493,3000,588.4057971,0.531400966,0.637681159,0.54589372
CO,Spinney Mountain Reservoir,10.027,707945.7844,59070.07648,10200,771.0144928,10800,1102.898551,2100,314.4927536,0.52173913,0.574879227,0.425120773
CO,Taylor Park Reservoir,8.171,870963.59,55582.19379,14100,1557.971014,9900,2200,2400,484.057971,0.516908213,0.550724638,0.47826087
CO,Turquoise Lake,7.02,954992.586,65829.22064,8400,1171.014493,6300,1371.014493,2100,292.7536232,0.487922705,0.555555556,0.396135266
CO,Jackson Reservoir,9.765,3388441.561,325065.553,26400,6165.217391,9900,495.6521739,2100,111.5942029,0.463768116,0.299516908,0.140096618
CO,Dillon Reservoir,12.935,851138.0382,61705.45558,9900,781.1594203,9000,1395.652174,2700,405.7971014,0.444444444,0.516908213,0.405797101
CO,Lake ID: 224311,15.003,3388441.561,239285.2504,32400,4173.913043,12000,995.6521739,6600,391.3043478,0.439613527,0.376811594,0.314009662
CO,Blue Mesa Reservoir,15.523,870963.59,56948.0753,3000,327.5362319,4200,630.4347826,900,155.0724638,0.429951691,0.584541063,0.357487923
CO,Julesburg Reservoir,5.684,2511886.432,152236.4755,10800,1568.115942,7200,600,1800,146.3768116,0.425120773,0.357487923,0.207729469
CO,Lake ID: 1594373,3.697,2238721.139,169744.729,7200,985.5072464,3300,178.2608696,600,24.63768116,0.410628019,0.202898551,0.053140097
CO,Blue Mesa Reservoir,18.885,549540.8739,37951.66804,3900,350.7246377,8100,1569.565217,2700,459.4202899,0.371980676,0.618357488,0.555555556
CO,Lake ID: 11646,6.116,676082.9754,47584.9293,2400,228.9855072,6300,436.2318841,1500,128.9855072,0.314009662,0.333333333,0.246376812
CO,Cobb Lake,2.78,1288249.552,87771.84098,4200,547.826087,1800,182.6086957,1200,68.11594203,0.309178744,0.285024155,0.125603865
CO,Standley Lake,4.87,489778.8194,36996.46853,6000,224.6376812,7500,724.6376812,2700,165.2173913,0.280193237,0.439613527,0.217391304
CO,North Sterling Reservoir,10.781,3388441.561,224185.3561,13800,2181.15942,6000,168.115942,1200,40.57971014,0.265700483,0.15942029,0.072463768
CO,Union Reservoir,3.029,562341.3252,24898.81618,4800,204.3478261,2700,124.6376812,1200,18.84057971,0.125603865,0.140096618,0.028985507
FL,Lake ID: 166757656,1674.896,3388441.561,127931.3886,3817500,816736.2319,3651600,1232598.551,973200,297460.8696,0.946859903,0.946859903,0.946859903
FL,"Kissimmee, Lake",140.337,1621810.097,203891.46,374100,174376.8116,178200,50304.34783,40800,8556.521739,0.927536232,0.927536232,0.913043478
FL,Lake ID: 120052768,15.18,2041737.945,745976.0909,34500,30472.46377,2100,79.71014493,600,8.695652174,0.927536232,0.101449275,0.019323671
FL,"Istokpoga, Lake",109.877,2137962.09,266596.9402,312600,197498.5507,130500,25253.62319,23100,3966.666667,0.922705314,0.922705314,0.874396135
FL,"Apopka, Lake",124.083,3388441.561,1220311.129,413100,356401.4493,14400,226.0869565,1200,15.94202899,0.917874396,0.082125604,0.024154589
FL,"Marion, Lake",12.083,2344228.815,750469.0131,24600,21318.84058,5400,182.6086957,1200,24.63768116,0.917874396,0.149758454,0.048309179
FL,West Lake,8.332,3388441.561,1215743.722,15000,13042.02899,1800,60.86956522,300,7.246376812,0.917874396,0.09178744,0.024154589
FL,"Tohopekaliga, Lake",76.259,1995262.315,214186.891,181500,88998.55072,86100,23004.34783,19200,3888.405797,0.913043478,0.903381643,0.903381643
FL,Lake ID: 16636112,63.489,3311311.215,627866.8446,102000,77633.33333,54300,2430.434783,8100,379.7101449,0.913043478,0.516908213,0.212560386
FL,Cuthbert Lake,4.018,3388441.561,1274864.117,5400,4708.695652,1800,26.08695652,600,7.246376812,0.913043478,0.038647343,0.019323671
FL,Lake ID: 16636168,76.799,2884031.503,492651.3719,213600,170415.942,118800,4815.942029,21600,669.5652174,0.90821256,0.391304348,0.280193237
FL,"Weohyakapka, Lake",30.556,1698243.652,133754.7154,92700,45847.82609,74100,21778.26087,17700,2659.42029,0.90821256,0.888888889,0.685990338
FL,"George, Lake",179.178,3019951.72,208063.3975,607200,275073.913,431700,101486.9565,96600,19168.11594,0.898550725,0.874396135,0.797101449
FL,"Jesup, Lake",32.655,2290867.653,721496.0568,73800,58420.28986,37500,1420.289855,4200,250.7246377,0.898550725,0.357487923,0.22705314
FL,Right Arm Lochloosa Lake,35.566,2884031.503,978109.9975,69600,52059.42029,33600,1726.086957,4200,286.9565217,0.898550725,0.371980676,0.212560386
FL,Lake Hatchineha,26.748,1318256.739,142786.4284,60600,18992.75362,33300,11378.26087,6600,2007.246377,0.898550725,0.893719807,0.84057971
FL,"Marian, Lake",23.243,2137962.09,485483.2081,52200,36486.95652,20100,2059.42029,6300,344.9275362,0.898550725,0.61352657,0.309178744
FL,"Hancock, Lake",18.29,3388441.561,2051196.666,50400,36701.44928,6600,185.5072464,3000,47.82608696,0.898550725,0.115942029,0.062801932
FL,Lake ID: 16631376,23.941,3090295.433,1147408.967,45300,38247.82609,4800,191.3043478,1500,36.23188406,0.898550725,0.140096618,0.072463768
FL,Lake ID: 16883070,14.722,1548816.619,180317.2648,33600,6760.869565,21600,5152.173913,4800,1256.521739,0.898550725,0.884057971,0.743961353
FL,"Parker, Lake",8.526,3019951.72,1066163.582,15300,12679.71014,3600,82.60869565,600,8.695652174,0.898550725,0.072463768,0.014492754
FL,Crescent Lake,70.449,3019951.72,142164.6117,198600,66189.85507,158700,41542.02899,30600,6882.608696,0.893719807,0.879227053,0.826086957
FL,"Eustis, Lake",31.468,3311311.215,449676.4904,95100,72182.6087,62400,4511.594203,8700,453.6231884,0.893719807,0.31884058,0.188405797
FL,"Trafford, Lake",6.054,3388441.561,383500.8705,12600,9220.289855,8400,544.9275362,1800,81.15942029,0.893719807,0.342995169,0.149758454
FL,Lake ID: 166757578,24.995,1737800.829,149614.3682,61500,24081.15942,38400,8592.753623,6900,1488.405797,0.884057971,0.835748792,0.753623188
FL,Cypress Lake,16.36,1819700.859,260815.1466,38100,18395.65217,19200,3798.550725,5100,608.6956522,0.884057971,0.859903382,0.599033816
FL,Orange Lake,55.596,3090295.433,453956.061,65100,40521.73913,24300,3078.26087,5400,602.8985507,0.879227053,0.869565217,0.637681159
FL,Lake ID: 10988999,66.925,3162277.66,272762.0664,40800,8492.753623,24900,5137.681159,4800,975.3623188,0.879227053,0.811594203,0.685990338
FL,"Ariana, Lake",4.084,1288249.552,384100.859,8400,6424.637681,4500,257.9710145,1500,40.57971014,0.879227053,0.222222222,0.072463768
FL,"Eloise, Lake",4.669,1258925.412,377280.6636,9300,6911.594203,5400,410.1449275,1200,55.07246377,0.874396135,0.299516908,0.106280193
FL,"Yale, Lake",16.313,2454708.916,537775.2007,40500,31362.31884,31200,1431.884058,2100,115.942029,0.869565217,0.260869565,0.149758454
FL,"Hamilton, Lake",8.794,1148153.621,180632.5703,18900,10769.56522,13200,2733.333333,2700,359.4202899,0.869565217,0.734299517,0.463768116
FL,"Juliana, Lake",3.68,1659586.907,515169.9413,4800,3802.898551,2100,65.2173913,900,13.04347826,0.869565217,0.106280193,0.033816425
FL,Lake ID: 166757642,13.166,1202264.435,120137.1384,23100,3986.956522,23400,5236.231884,6900,1504.347826,0.8647343,0.8647343,0.787439614
FL,Lake ID: 21480292,13.958,2691534.804,315231.5051,35700,24834.78261,23700,2173.913043,3300,278.2608696,0.855072464,0.429951691,0.256038647
FL,Bear Lake,3.541,2691534.804,889068.839,5400,3914.492754,3000,204.3478261,600,36.23188406,0.855072464,0.207729469,0.101449275
FL,"Tarpon, Lake",10.131,954992.586,133284.3403,14700,5972.463768,9900,2204.347826,2700,418.8405797,0.845410628,0.869565217,0.565217391
FL,Lake ID: 21477420,48.137,977237.221,63105.49448,111000,9265.217391,108900,29269.56522,31500,9214.492754,0.84057971,0.884057971,0.855072464
