Activity,Formulation,AppEquip,AppType,Category,AppRateUnit,TreatedVal,TreatedUnit,DUESLNoG,DUESLG,DUEDLG,DUESLGCRH,DUEDLGCRH,DUEEC,IUENoR,IUEPF5R,IUEPF10R,IUEEC,SourceCategory,SourceMRID,SourceDescription,SourceDER
L/A,G,Belly grinder,Broadcast,Christmas Tree farm,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,"Landscaping, trees/shrubs/bushes",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,"Landscaping, plants/flowers",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,Foundations/perimeter,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Cup,Broadcast,Orchard/Vineyard,,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,Christmas Tree farm,,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,"Landscaping, trees/shrubs/bushes",,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,"Landscaping, plants/flowers",,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,Warehouse,,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/acre,1,acres,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,Foundations/perimeter,,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,Mounds/nests,,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,Interior landscaping,,,,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Cup,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lbs ai/acre,1,acres,112,11.2,11.2,No Data,No Data,No Data,12.5,2.5,1.25,No Data,Proprietary,45333401,"Merricks, 2001 (disulfoton_cup)",D273144
L/A,G,Rotary spreader,Broadcast,Orchard/Vineyard,lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,G,Rotary spreader,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,G,Rotary spreader,Broadcast,Golf course (tees and greens only),lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,G,Rotary spreader,Broadcast,"Golf course (fairways, tees, greens)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,G,Rotary spreader,Broadcast,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,G,Rotary spreader,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,G,Spoon,Broadcast,Orchard/Vineyard,,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,Christmas Tree farm,,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,"Nursery (ornamentals, vegetables, trees, container stock)",,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,"Landscaping, trees/shrubs/bushes",,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,"Landscaping, plants/flowers",,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,"Industrial/commercial (tires, rail yards, junk yards, etc.)",,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Rotary spreader,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/acre,1,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,G,Spoon,Ground/soil-directed,Poultry/livestock house/horse barn/feed lot,lb ai/acre,1,acres,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,Foundations/perimeter,,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,G,Spoon,Ground/soil-directed,Mounds/nests,,,,4170,3030,1580,No Data,No Data,No Data,121,24.2,12.1,No Data,Proprietary,45250702,"Pontal, 1996 (fipronil_bananas_spoon)",D270065
L/A,Paint/stain,Airless Sprayer,Broadcast,"Structural (e.g., warehouses, FHE, home bathrooms)",lb ai/gallon,,gallons,42600,11700,10600,No Data,No Data,No Data,560,112,56,No Data,PHED / Proprietary,NA / 43600102,"PHED Scenario 23 / Formella, 1995 (chlorothalonil_airless)",NA / D274491
L/A,Paint/stain,Airless Sprayer,Broadcast,"Structural (e.g., bridges, shipyards, home decks, foundations)",lb ai/gallon,,gallons,42600,11700,10600,No Data,No Data,No Data,560,112,56,No Data,PHED / Proprietary,NA / 43600102,"PHED Scenario 23 / Formella, 1995 (chlorothalonil_airless)",NA / D274491
L/A,Paint/stain,Brush/roller,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/gallon,,gallons,180000,24000,22000,No Data,No Data,No Data,280,56,28,No Data,PHED,NA,PHED Scenario 22,NA
L/A,Paint/stain,Brush/roller,Broadcast,"Structural (e.g., bridges, shipyards, home decks, foundations)",lb ai/gallon,,gallons,180000,24000,22000,No Data,No Data,No Data,280,56,28,No Data,PHED,NA,PHED Scenario 22,NA
L/A,Paint/stain,Brush/roller,Broadcast,"Structural (e.g., warehouses, FHE, home bathrooms)",lb ai/gallon,,gallons,180000,24000,22000,No Data,No Data,No Data,280,56,28,No Data,PHED,NA,PHED Scenario 22,NA
Applicator,DF/WDG,Pour- in/on,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,1,acre-feet,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
Applicator,DF/WDG,Pour- in/on,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
Applicator,G,Pour- in/on,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,1,acre-feet,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
Applicator,G,Pour- in/on,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
Applicator,L/SC/EC,Pour- in/on,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,1,acre-feet,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
Applicator,L/SC/EC,Pour- in/on,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
Applicator,WP,Pour- in/on,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,1,acre-feet,3700,170,130,No Data,No Data,9.8,43,8.6,4.3,0.24,PHED,NA,PHED Scenario 4 / PHED Scenario 5,NA
Applicator,WP,Pour- in/on,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,3700,170,130,No Data,No Data,9.8,43,8.6,4.3,0.24,PHED,NA,PHED Scenario 4 / PHED Scenario 5,NA
Applicator,WSP,Pour- in/on,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,1,acre-feet,No Data,No Data,No Data,No Data,No Data,9.8,No Data,No Data,No Data,0.24,PHED,NA,PHED Scenario 5,NA
Applicator,WSP,Pour- in/on,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,No Data,No Data,No Data,No Data,No Data,9.8,No Data,No Data,No Data,0.24,PHED,NA,PHED Scenario 5,NA
