148,0.15,12.4,7.2,14.47933091
149,0,11.4,21.96,14.50001651
150,0,12.6,10.08,14.51997711
151,0,13.1,12.96,14.53919914
152,0,11.9,9.72,14.5576693
153,0.64,10.6,11.16,14.57537464
154,2.34,14.6,15.48,14.59230254
155,0,15.6,17.28,14.60844082
156,0,13.6,13.32,14.6237777
157,0,15.9,10.08,14.63830184
158,0,19.1,10.44,14.65200242
159,0,20,11.52,14.66486911
160,1.93,17.5,16.92,14.67689213
161,0,18.1,16.92,14.68806227
162,0,16.3,10.08,14.69837092
163,0,15.2,12.24,14.70781009
164,0,15.2,10.8,14.71637243
165,0,18.5,14.04,14.72405125
166,0,19.5,18.72,14.73084056
167,0,14,16.92,14.73673507
168,0,16.1,10.44,14.74173019
169,0,19.4,12.24,14.74582208
170,0,20.3,14.4,14.74900766
171,0,20,9,14.75128456
172,0,21.2,15.12,14.75265123
173,0,19.4,15.84,14.75310682
174,0,16.4,20.88,14.75265131
175,0,16.1,15.48,14.75128541
176,0,17.3,13.32,14.7490106
177,0,17.3,12.6,14.74582914
178,0,18.9,10.44,14.74174404
179,0,20,12.96,14.73675903
180,0,21,10.44,14.73087861
181,0,22,15.12,14.72410798
182,0,21.4,16.92,14.71645304
183,0,20.4,12.96,14.70792039
184,0,18.6,15.84,14.69851729
185,0,19.4,11.52,14.68825165
186,0,21.3,15.84,14.677132
187,0,22.7,14.04,14.66516747
188,0,22.6,15.12,14.65236775
189,2.87,20.7,13.68,14.63874308
190,0,20.3,12.96,14.62430424
191,0,22.2,11.52,14.60906246
192,0,20.4,19.8,14.59302946
193,0.33,15.9,19.44,14.57621736
194,2.06,15.6,17.28,14.55863871
195,1.55,14.1,16.2,14.54030638
196,0,16.2,13.32,14.52123362
197,0,17.5,6.48,14.50143395
198,0.64,15.9,10.08,14.48092117
199,0,15.1,10.08,14.45970933
200,1.4,13.6,9.72,14.43781266
201,6.48,14,11.52,14.41524561
202,0,17.2,12.24,14.39202275
203,0,17.4,13.68,14.36815877
204,0.25,17.7,14.76,14.34366847
205,0,17.9,7.92,14.31856668
206,0,15.1,17.28,14.29286831
207,0,17.5,14.76,14.26658825
208,0,17.2,15.12,14.23974139
209,0,16.9,15.12,14.21234257
210,0,18.2,11.52,14.1844066
211,0,19.4,11.16,14.15594818
212,0,20.1,13.32,14.12698193
213,0.03,15.9,10.08,14.09752234
214,0.08,15.8,10.44,14.06758376
215,0,18,5.76,14.0371804
216,0,18.9,14.4,14.00632631
217,1.32,18.5,14.04,13.97503533
218,0,18.3,11.16,13.94332113
219,0,17.8,10.44,13.91119715
220,0.08,13.8,12.96,13.87867665
221,3.56,15.9,12.24,13.84577264
222,0.64,15.5,9,13.81249788
223,0,17.3,3.6,13.77886493
224,0,18,7.2,13.74488607
225,0,18.5,9.36,13.71057335
226,0.13,17.9,9.72,13.67593854
227,0,18.8,7.92,13.64099318
228,0,19.6,11.52,13.60574851
229,0,18.8,12.24,13.57021555
230,0,20,8.28,13.53440503
231,0,20.3,10.44,13.49832742
232,0,20.4,7.92,13.46199293
233,0.89,19.7,10.8,13.4254115
234,4.47,14.9,10.44,13.38859284
235,0.89,14.8,7.92,13.35154637
236,0,16.6,7.92,13.31428127
237,0,17.2,10.08,13.27680647
238,0,18.7,9,13.23913067
239,0,20.2,8.64,13.20126232
240,0,21,3.6,13.16320962
241,0.05,20.9,9.72,13.12498056
242,2.18,16.6,11.88,13.08658292
243,1.47,14.5,14.76,13.04802424
244,0,16.8,15.48,13.00931187
245,0,19,9.36,12.97045294
246,0,19.6,9.72,12.93145441
247,0,16.4,15.48,12.89232304
248,0,16.8,10.08,12.8530654
249,0,19.3,7.56,12.81368793
250,0.18,20,9.36,12.77419686
251,0,20.9,10.44,12.73459831
252,0.03,16.7,9.36,12.69489824
253,0,17.4,10.44,12.65510246
254,1.85,16.6,11.52,12.61521667
255,0,16.8,10.08,12.57524647
256,0.86,16,9.72,12.53519732
257,2.87,13,12.6,12.49507461
258,0,16.7,17.28,12.45488363
259,0,14.2,16.56,12.41462959
260,0,13,15.12,12.37431765
261,0,11,15.48,12.3339529
262,0,14.1,12.24,12.29354037
263,0,18,14.04,12.25308509
264,0,16.7,10.08,12.21259202
265,2.18,15.2,20.16,12.17206613
266,0,9.6,20.16,12.13151238
267,0,6.4,8.28,12.09093573
268,0,9,14.04,12.05034117
269,0,12.2,12.24,12.00973369
270,0,13.8,9.36,11.96911834
271,0,13.2,11.52,11.92850022
272,0,12.5,10.8,11.88788446
273,0.03,12.3,9,11.84727629
274,0,14.1,11.52,11.806681
275,0,13.5,9,11.76610399
276,0,13.7,10.8,11.72555075
277,0.71,12.1,18.36,11.68502688
278,0,12.4,8.64,11.64453813
279,0,12.3,10.8,11.60409036
280,0,12.7,9.72,11.56368958
281,0,15.5,9.36,11.52334197
282,0.18,13.9,12.24,11.48305388
283,0,10.5,14.4,11.44283183
284,1.17,9.6,14.4,11.40268254
285,4.75,11,15.12,11.36261294
286,0,10.9,14.4,11.32263015
287,0,10.1,10.8,11.28274154
288,0,12.2,11.16,11.24295471
289,0,11.5,15.12,11.2032775
290,0,11.7,12.96,11.16371801
291,0.18,11.1,22.68,11.1242846
292,0,4.4,10.44,11.08498592
293,0,5.2,16.56,11.04583089
294,0.53,8.6,13.68,11.00682875
295,5.21,8.6,10.08,10.96798902
296,0.33,9,16.92,10.92932154
297,0,7.6,8.64,10.89083648
298,0.08,1,22.68,10.85254433
299,0,2.3,13.32,10.81445592
300,0,2.4,9,10.77658242
301,0,6.8,15.12,10.73893535
302,0,4.1,13.32,10.70152659
303,0,5.4,9.36,10.66436836
304,0,8,7.56,10.62747325
305,0,9.1,10.08,10.59085423
306,0,8.9,7.92,10.5545246
307,0,9.5,7.2,10.51849806
308,0,9.7,8.64,10.48278865
309,0.33,10.4,21.6,10.44741078
310,0,5.3,6.12,10.41237924
311,0,6.9,10.08,10.37770913
312,0,2.1,19.44,10.34341595
313,3.02,-3.4,24.12,10.3095155
314,0.03,2.4,25.56,10.27602393
315,0,5.2,15.48,10.24295772
316,0,8.4,20.88,10.21033366
317,0,7.5,9,10.17816881
318,0,6.1,12.6,10.14648053
319,0,5.8,6.84,10.11528645
320,0,7.3,16.56,10.08460442
321,0,5.1,13.32,10.05445253
322,0,2.4,10.08,10.02484906
323,0,4.4,13.68,9.995812465
324,0,8.6,10.44,9.967361343
325,0,6.3,8.64,9.939514408
326,0,5.9,11.16,9.912290461
327,0,7.1,18.36,9.885708355
328,0,5.7,12.6,9.859786957
329,0,8.8,16.92,9.834545118
330,0,7.7,10.44,9.810001631
331,0,9,14.76,9.786175191
332,0.1,12.6,23.4,9.763084354
333,0.03,1.5,21.96,9.740747496
334,0,-1.1,11.88,9.719182768
335,0,0.6,9.72,9.698408051
336,0,6.7,13.68,9.678440912
337,2.59,6.5,17.28,9.659298555
338,0,-3.7,23.04,9.640997778
339,0,-1.8,14.4,9.623554924
340,0,0.7,14.4,9.606985834
341,0.38,-2.9,9.36,9.591305802
342,0.03,-0.2,11.52,9.576529526
343,0,1.2,8.28,9.562671067
344,0,4.6,15.84,9.549743802
345,0,4.8,11.52,9.537760383
346,0,2.5,11.88,9.526732693
347,0,4.8,12.96,9.516671809
348,0.05,0.2,21.96,9.507587964
349,0.03,-2.7,5.76,9.499490514
350,0,5.3,17.28,9.4923879
351,0,2.6,11.16,9.486287625
352,0.66,8.3,23.04,9.481196225
353,0,3,10.08,9.477119243
354,1.45,-1.9,23.4,9.474061213
355,0.15,-1.5,13.32,9.472025642
356,0,3.8,10.44,9.471014997
357,1.5,9.6,22.68,9.471030694
358,0,-8.2,25.56,9.472073099
359,0,-7.4,10.44,9.47414152
360,0,-4,9.36,9.47723421
361,0.2,-8.4,19.08,9.481348378
362,0.05,-5.1,10.8,9.486480195
363,0.2,-1.8,10.08,9.49262481
364,0.89,5.2,16.56,9.499776363
365,0.15,-0.1,15.84,9.507928013
