FIPS,name,hwbi,moe,cn,cn_moe,cf,cf_moe,ed,ed_moe,he,he_moe,lt,lt_moe,ls,ls_moe,ss,ss_moe,sc,sc_moe
12089,"Nassau County, Florida",54.90079052,2.244902963,47.3043937,10.5630967,51.50641228,10.46234378,54.99925131,2.676038781,60.15301364,2.044394772,57.8713433,1.83543324,58.85523529,2.219970169,60.81700423,5.188167072,49.42858166,2.547448219
12091,"Okaloosa County, Florida",53.37961343,2.190740525,49.12756064,10.60216537,49.27958891,10.44975337,52.36084541,2.748118364,57.52559274,1.69511494,56.53785889,2.005572281,55.44266374,2.128955068,59.22984507,4.986710567,48.68770727,2.583256291
12093,"Okeechobee County, Florida",47.92770055,2.142776066,84.78135263,10.30447102,36.32080531,10.07157681,31.02601884,3.3971613,51.20695784,2.216523865,54.5685134,2.595876135,48.72311143,4.012971785,55.25138638,5.05789302,38.74017611,2.731717172
12095,"Orange County, Florida",50.66648712,2.141801757,49.12756064,10.65635029,49.21422451,10.62958469,48.05705979,2.821478916,58.44010263,1.657679575,58.46259859,1.943648391,51.69579041,2.249427517,51.12568041,4.960146476,41.3913837,2.618611314
12097,"Osceola County, Florida",52.87100838,2.181676142,57.36498253,11.41305389,50.59859901,11.4230247,57.19750615,2.717939294,54.82698156,1.839228267,53.16274857,2.018818476,48.88399152,2.32304485,55.0914932,4.899341787,46.85169745,2.744938089
12099,"Palm Beach County, Florida",52.34471314,2.102808016,49.12756064,10.61772035,53.17082701,10.35383651,48.1383192,2.809023423,58.52758587,1.880441505,58.83549391,1.933596504,54.9555366,2.316116585,56.56471927,4.868666147,41.87318077,2.632630741
12101,"Pasco County, Florida",52.19545453,2.285787999,47.3043937,10.60332752,46.26266519,10.93236356,54.36895297,2.673823161,54.09250077,1.83960146,57.91538824,1.82734062,53.93580156,2.278923862,56.08974622,4.877904883,48.85249265,2.554669155
12103,"Pinellas County, Florida",50.53268347,2.158824541,49.12756064,10.60827544,47.71676435,10.68483171,47.63355979,2.82827242,54.65164688,1.958383389,58.67976837,1.968684209,53.10310554,2.280760568,53.40901541,4.876396296,41.86427073,2.622140384
12105,"Polk County, Florida",50.67202356,2.056965246,57.36498253,11.31430105,48.5856925,10.52874614,43.54082048,2.769242281,53.1702307,1.8238236,57.1932694,2.060938094,47.94551711,2.025540083,56.15145055,4.888641378,43.74935533,2.666782358
12107,"Putnam County, Florida",46.98864709,2.131897494,57.86311365,11.30877549,39.31226014,10.08817828,38.98858182,2.78883082,52.13377214,2.364384252,57.64052148,2.078998076,48.183487,2.318075982,46.3195468,5.14469187,39.9545918,2.700604154
12109,"St. Johns County, Florida",54.22645258,2.286054628,49.12756064,10.76843622,48.61324547,10.77469582,50.59647469,2.875331816,60.93941607,1.900885634,60.02416679,1.891819216,59.95383905,2.390376392,64.89742537,4.973796891,43.47309768,2.720015301
12111,"St. Lucie County, Florida",50.65538652,2.0983319,57.36498253,11.36915448,47.37473461,10.6935826,43.84772991,2.78501605,53.24899323,1.911788436,57.63983225,2.038792105,48.63097541,2.062591995,56.00284476,4.833746643,43.52182729,2.670688698
12113,"Santa Rosa County, Florida",54.28757589,2.259205792,47.3043937,10.55222273,49.12150541,10.58711561,50.55330711,2.821069939,60.17334655,1.650431123,59.47743948,1.827426926,54.32644696,1.928224038,64.6083743,4.94616468,51.12394174,2.653620208
12115,"Sarasota County, Florida",49.28394377,2.175079695,57.36498253,11.28065561,39.5715834,9.993295345,35.19298058,2.85105858,58.10751505,1.855937167,61.99793114,2.273034798,52.06222586,2.061370055,57.27847559,4.900737284,40.55399094,2.689194125
